input_order,ligand_id,Canonical SMILES,Butina_clusters,cluster_size,cluster_center_ligand_id
138,159,O=C(O)Cc1sc(-c2ccccc2)nc1-c1ccc(Cl)cc1,1025,3,159
139,160,CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(CCF)c3c2F)CC1,245,6,160
140,161,COC1(NC(=O)CSC(F)F)C(=O)N2C(C(=O)O)=C(CSc3nnnn3CCO)COC21,8113,1,161
141,162,Cc1onc(-c2c(F)cccc2Cl)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,697,4,126
142,163,Fc1ccc(C(c2ccc(F)cc2)N2CCN(CC=Cc3ccccc3)CC2)cc1,2075,2,163
143,164,CC1(C)OC2CC3C4CC(F)C5=CC(=O)C=CC5(C)C4C(O)CC3(C)C2(C(=O)CO)O1,8112,1,164
144,165,NCCCC(=O)O,2083,2,78
145,166,CNC(C)C1CCC(N)C(OC2C(N)CC(N)C(OC3OCC(C)(O)C(NC)C3O)C2O)O1,220,7,166
146,170,CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1C(=O)N(C)CC1C(=O)O,8111,1,170
147,171,CN(CC(O)CO)C(=O)c1c(I)c(NC(=O)C(CO)CO)c(I)c(C(=O)N(C)CC(O)CO)c1I,1697,2,171
148,173,CC(=O)NCc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,27,5,173
149,175,CN(C)C=Nc1c(I)cc(I)c(CCC(=O)O)c1I,8110,1,175
150,178,O=C(O)c1ccncc1,8109,1,178
151,179,O=[N+]([O-])OC1COC2C(O)COC12,311,6,179
152,180,CC(COc1ccccc1)NC(C)C(O)c1ccc(O)cc1,8108,1,180
153,182,NCC1OC(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)C(O)C(O)C1O,19,18,182
154,184,OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,8107,1,184
155,189,CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1,8106,1,189
156,190,Cc1ncc(COP(=O)(O)O)c(CN(CCN(CC(=O)O)Cc2c(COP(=O)(O)O)cnc(C)c2O)CC(=O)O)c1O,8105,1,190
157,194,CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CNC(C(=O)N(C)C)C3)C(C)C12,8104,1,194
158,195,CN1CC(CNC(=O)OCc2ccccc2)CC2c3cccc4c3c(cn4C)CC21,8103,1,195
159,196,CN(C)CCN(Cc1cccs1)c1ccccn1,8102,1,196
160,197,COc1ccc2c(c1)N(CC(C)CN(C)C)c1ccccc1S2,8101,1,197
161,200,CCC(CO)NC(=O)C1C=C2c3cccc4c3c(cn4C)CC2N(C)C1,2082,1,200
162,201,COc1ccc2cc1Oc1cc3c(cc1OC)CC[N+](C)(C)C3Cc1ccc(cc1)Oc1c(OC)c(OC)cc3c1C(C2)[N+](C)(C)CC3,1772,2,201
163,202,CC(=O)Nc1c(I)c(C(=O)O)c(I)c(N(C)C(C)=O)c1I,53,9,202
164,203,COCC(=O)OC1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2C1C(C)C,8100,1,203
165,204,Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,8099,1,204
166,206,CC(=O)Oc1cc(C(C)C)c(OCCN(C)C)cc1C,959,3,206
167,207,CC(=CC(=O)OCCCCCCCCC(=O)O)CC1OCC(CC2OC2C(C)C(C)O)C(O)C1O,1641,2,207
168,208,CC(=O)N(C)C,8098,1,208
169,210,OCc1cccnc1,8097,1,210
170,211,O=C(O)c1cccnc1Nc1cccc(C(F)(F)F)c1,8096,1,211
171,213,O=C1CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc2N1,8095,1,213
172,215,CN(CCCl)CCCl,1201,2,215
173,216,CCN(CC)N=O,8094,1,216
174,217,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,245,6,160
175,218,O=C(O)c1ccccc1Nc1ccccc1,68,12,218
176,219,OCCN1CCN(CCCN2c3ccccc3C=Cc3ccccc32)CC1,1239,2,219
177,221,Cc1onc(-c2ccccc2)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,697,4,126
178,222,O=c1[nH]c2ccccc2n1CCCN1CCN(C(c2ccccc2)c2ccccc2)CC1,8093,1,222
179,225,C[n+]1ccc(-c2cc[n+](C)cc2)cc1,8092,1,225
180,226,NCC1OC(OC2C(CO)OC(OC3C(O)C(N)CC(N)C3OC3OC(CO)C(O)C(O)C3N)C2O)C(N)C(O)C1O,19,18,182
181,227,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C)CC3)cc21,450,3,227
182,228,CC(C)(C)NCC(O)COc1ccccc1C1CCCC1,1723,2,228
183,229,CC(C)=CCN1CCC2(C)c3cc(O)ccc3CC1C2C,435,5,229
184,230,CN1CCN(CCCN2c3ccccc3Sc3ccccc32)CC1,39,15,230
185,231,N#Cc1ccc2c(c1)N(CCCN1CCC(O)CC1)c1ccccc1S2,2081,1,231
186,233,Oc1ccccc1,8091,1,233
187,234,c1ccc2c(c1)Nc1ccccc1S2,2060,2,234
188,236,O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1,8090,1,236
189,237,O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,2080,1,237
190,240,CC(=O)OC1CC2CCC3C(CCC4(C)C3CC(N3CC[N+](C)(C)CC3)C4OC(C)=O)C2(C)CC1N1CC[N+](C)(C)CC1,2079,1,240
191,241,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)CO)CC3OC1CC(N)C(OC2CCCCO2)C(C)O1,864,2,241
192,243,NS(=O)(=O)c1cc(C(=O)O)cc(N2CCCC2)c1Oc1ccccc1,8089,1,243
193,244,c1cnc(N2CCN(Cc3ccc4c(c3)OCO4)CC2)nc1,8088,1,244
194,245,CC(C)(C)C(=O)OCOC(=O)C1N2C(=O)C(N=CN3CCCCCC3)C2SC1(C)C,8087,1,245
195,246,CCC(C)C(=O)OC1CC(O)C=C2C=CC(C)C(CCC(O)CC(O)CC(=O)O)C21,8086,1,246
196,248,CCN(CC)CCOC(=O)c1ccc(N)cc1,186,6,248
197,249,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,39,15,230
198,250,CCCOc1ccc(C(=O)OCCN(CC)CC)cc1N,349,3,250
199,251,c1ccncc1,8085,1,251
200,253,COC(=O)C1C2CC3c4[nH]c5cc(OC)ccc5c4CCN3CC2CC(OC(=O)C=Cc2cc(OC)c(OC)c(OC)c2)C1OC,158,8,253
201,254,COC(=O)C1C2CC3c4[nH]c5cc(OC)ccc5c4CCN3CC2CC(OC(=O)c2cc(OC)c(OC)c(OC)c2)C1OC,158,8,253
202,256,CC(NCCc1ccc(O)cc1)C(O)c1ccc(O)cc1,8084,1,256
203,257,CC(=O)OCC(=O)NCCCOc1cccc(CN2CCCCC2)c1,8083,1,257
204,258,CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12,2078,2,15
205,259,O=C(O)c1ccccc1,8082,1,259
206,260,C=Cc1ccccc1,8081,1,260
