Butina_clusters,cluster_size,cluster_center_ligand_id
1157,2,14798
1158,2,14166
1159,2,16310
1160,2,4504
1161,2,2190
1162,2,16264
1163,2,13814
1164,2,13403
1165,2,16273
1166,2,16245
1167,2,843
1168,2,13696
1169,2,16215
1170,2,13193
1171,2,13134
1172,2,6143
1173,2,12798
1174,1,16193
1175,2,11923
1176,2,16158
1177,2,12061
1178,1,16152
1179,1,16151
1180,2,344
1181,1,16135
1182,2,8897
1183,1,16100
1184,2,12450
1185,2,7942
1186,2,14635
1187,2,16028
1188,2,10495
1189,2,7940
1190,2,389
1191,2,11563
1192,2,10249
1193,2,15940
1194,2,15932
1195,2,7950
1196,1,15930
1197,2,9937
1198,1,15871
1199,2,1887
1200,2,5906
1201,2,215
1202,2,15546
1203,2,15820
1204,2,8367
1205,2,15144
1206,2,2032
1207,2,15712
1208,1,15706
1209,2,15686
1210,2,15667
1211,2,8272
1212,2,1475
1213,1,15615
1214,1,15607
1215,2,15561
1216,2,5872
1217,2,6834
1218,2,6595
1219,2,15490
1220,2,1035
1221,2,6314
1222,2,15464
1223,2,5656
1224,1,15452
1225,2,15448
1226,2,3696
1227,2,12975
1228,2,7273
1229,2,4744
1230,2,15137
1231,2,15175
1232,2,15365
1233,2,14529
1234,1,15355
1235,2,1878
1236,2,11994
1237,2,7968
1238,2,6853
1239,2,219
1240,2,13485
1241,1,15255
1242,2,6196
1243,2,6100
1244,2,3032
1245,2,3253
1246,2,2647
1247,2,10677
1248,2,4945
1249,2,6496
1250,1,15083
1251,2,924
1252,2,2285
1253,2,15023
1254,2,15016
1255,2,740
1256,2,10545
1257,2,14977
1258,1,14974
1259,2,14921
1260,1,14919
1261,2,14898
1262,2,14896
1263,1,14894
1264,2,14882
1265,2,14878
1266,2,14348
1267,1,14820
1268,2,12606
1269,1,14787
1270,1,14752
1271,2,14741
1272,2,14547
1273,2,14722
1274,1,14704
1275,2,5235
1276,1,14649
1277,2,778
1278,2,386
1279,2,14591
1280,2,14397
1281,2,14544
1282,1,14526
1283,2,12298
1284,2,14495
1285,2,14155
1286,2,14465
1287,2,14459
1288,2,9644
1289,2,13196
1290,2,14156
1291,2,12503
1292,2,12467
1293,1,14339
1294,2,14323
1295,2,14288
1296,2,14255
1297,2,14252
1298,2,14013
1299,2,12727
1300,2,12460
1301,2,4296
1302,2,13041
1303,2,14161
1304,2,13712
1305,2,7975
1306,1,14150
1307,2,14137
1308,2,14134
1309,2,14131
1310,2,14129
1311,1,14126
1312,2,14084
1313,2,12995
1314,2,14057
1315,1,14025
1316,2,13943
1317,2,4623
1318,2,13976
1319,2,13982
1320,1,13983
1321,1,13979
1322,2,4619
1323,1,13941
1324,1,13936
1325,2,12611
1326,2,13522
1327,2,13873
1328,1,13835
1329,2,13827
1330,2,13828
1331,2,13772
1332,2,13436
1333,2,11949
1334,2,13035
1335,2,13765
1336,2,13036
1337,2,8237
1338,2,13684
1339,2,13705
1340,2,13688
1341,2,13687
1342,2,13685
1343,2,13167
1344,2,13660
1345,1,13624
1346,2,12729
1347,1,13570
1348,2,13560
1349,1,13562
1350,2,13529
1351,1,13513
1352,1,13491
1353,1,13460
1354,2,7970
1355,2,12797
1356,2,13384
1357,2,13383
1358,1,13386
1359,1,13382
1360,2,13365
1361,2,13345
1362,2,13254
1363,1,13323
1364,2,13313
1365,2,13306
1366,2,13287
1367,2,3591
1368,2,13252
1369,1,13241
1370,2,13234
1371,1,13210
1372,2,12794
1373,2,8607
1374,1,13121
1375,1,13083
1376,2,13076
1377,2,12482
1378,2,7216
1379,2,10122
1380,2,7611
1381,2,13033
1382,2,13020
1383,2,12854
1384,2,12998
1385,2,12949
1386,2,12812
1387,1,12912
1388,1,12855
1389,2,12841
1390,1,12830
1391,2,8898
1392,2,7433
1393,2,1335
1394,1,12767
1395,1,12764
1396,2,7517
1397,2,7420
1398,2,7301
1399,2,12483
1400,2,12608
1401,2,12600
1402,1,12592
1403,1,12581
1404,2,12567
1405,2,12453
1406,2,12476
1407,2,5577
1408,2,12462
1409,1,12485
1410,2,4036
1411,2,12432
1412,1,12430
1413,2,559
1414,1,12392
1415,2,12383
1416,2,12379
1417,2,12380
1418,2,12378
1419,2,12369
1420,2,12351
1421,1,12339
1422,2,12221
1423,1,12309
1424,2,12294
1425,1,12290
1426,1,12262
1427,2,3690
1428,2,10453
1429,1,12096
1430,2,12093
1431,2,12087
1432,2,129
1433,2,12048
1434,2,12046
1435,2,11991
1436,2,5877
1437,2,11962
1438,1,11946
1439,2,8972
1440,2,1077
1441,2,8691
1442,2,11891
1443,2,11881
1444,2,8437
1445,1,11842
1446,2,11815
1447,2,2137
1448,2,688
1449,2,5484
1450,2,11743
1451,2,724
1452,2,8604
1453,2,73
1454,2,11692
1455,2,2069
1456,2,11578
1457,2,7606
1458,2,3521
1459,2,11551
1460,2,8616
1461,2,4148
1462,2,6913
1463,2,2792
1464,2,7374
1465,2,11486
1466,2,6907
1467,2,5136
1468,2,5795
1469,2,3043
1470,2,5618
1471,2,8303
1472,2,11410
1473,2,9503
1474,2,4611
1475,2,5946
1476,2,11287
1477,2,3779
1478,2,11210
1479,2,11228
1480,2,10676
1481,2,5896
1482,2,6463
1483,2,6717
1484,2,11111
1485,2,11105
1486,2,11096
1487,2,11042
1488,1,11078
1489,2,6837
1490,2,10115
1491,1,11021
1492,2,9564
1493,2,10984
1494,2,414
1495,2,3673
1496,2,10913
1497,2,10900
1498,2,10937
1499,2,10898
1500,2,10907
1501,2,2328
1502,1,10899
1503,2,10889
1504,2,10825
1505,2,10793
1506,2,10766
1507,2,5767
1508,2,9864
1509,2,10723
1510,2,9011
1511,1,10703
1512,2,5345
1513,1,10687
1514,2,10665
1515,2,9212
1516,2,10634
1517,2,3902
1518,2,2013
1519,2,6079
1520,2,10598
1521,2,10580
1522,1,10583
1523,2,2633
1524,2,10571
1525,2,10565
1526,2,10562
1527,2,509
1528,2,10518
1529,2,10514
1530,2,10499
1531,2,9179
1532,2,10435
1533,2,631
1534,1,10393
1535,2,10387
1536,2,8648
1537,2,10009
1538,1,10352
1539,2,6374
1540,1,10238
1541,2,10198
1542,1,10178
1543,1,10169
1544,2,10141
1545,2,4980
1546,2,5925
1547,2,10104
1548,1,10097
