replicate,btox_median,mean_E_44_median
546,1.8084775344468653,-6.930681818181819
547,1.7903104797005653,-6.934487315010571
548,1.8067730516195297,-6.952272727272727
549,1.7939251619391143,-6.947119450317123
550,1.7975689563900232,-6.945454545454546
551,1.7961539179086685,-6.934487315010571
552,1.8007341474294662,-6.947727272727272
553,1.8102185130119324,-6.95
554,1.7750957757234573,-6.934883720930233
555,1.806795358657837,-6.929545454545456
556,1.790936604142189,-6.932085561497327
557,1.8023297786712646,-6.927272727272728
558,1.7912034802138805,-6.922727272727272
559,1.8093197643756866,-6.939534883720929
560,1.791412292048335,-6.916279069767441
561,1.804910659790039,-6.941860465116281
562,1.7885630913078785,-6.913636363636363
563,1.799630037508905,-6.927589852008457
564,1.8086951151490211,-6.93720930232558
565,1.8059628438204527,-6.92299154334038
566,1.791436105966568,-6.927272727272726
567,1.800121022388339,-6.940909090909089
568,1.8006204329431057,-6.9206923890063425
569,1.7900486439466476,-6.9229915433403795
570,1.8065018616616726,-6.929545454545456
571,1.798912520520389,-6.9409090909090905
572,1.7905966574326158,-6.9172304439746295
573,1.808854341506958,-6.953488372093023
574,1.806179951876402,-6.955813953488374
575,1.7907201368361712,-6.925833333333333
576,1.7916177175939083,-6.925
577,1.802941631525755,-6.936363636363635
578,1.7944622784852982,-6.946590909090909
579,1.7877355366945267,-6.934090909090907
580,1.807290943339467,-6.949999999999999
581,1.7891335114836693,-6.936363636363637
582,1.8042885605245829,-6.937025703794369
583,1.7939978539943695,-6.932085561497327
584,1.7871759720146656,-6.931818181818181
585,1.7927217818796635,-6.91590909090909
586,1.7967747037764639,-6.934090909090911
587,1.7853519394993782,-6.931818181818183
588,1.803514614701271,-6.938636363636363
589,1.8018090799450874,-6.922727272727271
590,1.7761291861534119,-6.915909090909091
591,1.8104533702135086,-6.925000000000001
592,1.79745514690876,-6.945454545454546
593,1.7982128486037254,-6.929545454545456
594,1.8049838915467262,-6.948837209302326
595,1.8064320161938667,-6.947727272727273
596,1.7965310215950012,-6.936363636363635
597,1.8067842051386833,-6.924999999999999
598,1.7999180676415563,-6.934090909090909
599,1.8064954802393913,-6.943181818181818
600,1.7871759720146656,-6.9499999999999975
601,1.7977093607187271,-6.917424242424243
602,1.7991848140954971,-6.925000000000001
603,1.802781879901886,-6.9318181818181825
604,1.7928928527981043,-6.939085623678646
605,1.8031458780169487,-6.94022198731501
606,1.8067595064640045,-6.927272727272726
607,1.7965364158153534,-6.947727272727272
608,1.8010382801294327,-6.913636363636365
609,1.7979354783892632,-6.942521141649047
610,1.8024669289588928,-6.922991543340381
611,1.7890913486480713,-6.9363636363636365
612,1.794600009918213,-6.909090909090907
613,1.8051429018378258,-6.929545454545453
614,1.8118678778409958,-6.935299003322259
615,1.805543713271618,-6.936363636363635
616,1.7972549200057983,-6.940909090909091
617,1.798752598464489,-6.937209302325582
618,1.8075552061200142,-6.938636363636365
619,1.8042885605245829,-6.938636363636363
620,1.7949301227927208,-6.912474120082816
621,1.8057069182395935,-6.936363636363635
622,1.8019620440900326,-6.937209302325582
623,1.784296028316021,-6.9298890063424965
624,1.7956534274853764,-6.9266666666666685
625,1.7947146520018578,-6.904545454545457
626,1.803182352334261,-6.953488372093023
627,1.7898605465888977,-6.931818181818182
628,1.802781879901886,-6.943181818181817
629,1.7912204265594482,-6.927272727272727
630,1.8042885605245829,-6.947727272727273
631,1.7994826138019562,-6.94186046511628
