model,evaluation_domain,n_train,n_calibration,n_test,n_features,model_file,RMSE,MAE,MSE,R2,Spearman,CCC,CI_0.80_size,CI_0.80_coverage,CI_0.90_size,CI_0.90_coverage,CI_0.95_size,CI_0.95_coverage,split_index,seed
Plain,bbb_pass_test,8172,1997,1735,2050,results/models/split_10/plain/model.cbm,0.45668684020697664,0.3255537264607832,0.2085628700182326,0.43646212764044,0.6466609839391962,0.6060373304945524,1.062589317923205,0.8195965417867436,1.506311935026412,0.9072046109510087,1.9773372193032053,0.9579250720461095,10,52
Plain,full_test,8172,1997,2481,2050,results/models/split_10/plain/model.cbm,0.5041272989038345,0.353575887709269,0.25414433350007604,0.4771609672787165,0.682963469298415,0.6450145660470283,1.0625893179232049,0.7996775493752519,1.506311935026412,0.8887545344619106,1.9773372193032048,0.9443772672309553,10,52
ADME,full_test,8085,2042,2523,2161,results/models/split_11/adme/model.cbm,0.5468401801458909,0.367061925552052,0.29903418262199033,0.4796142212588088,0.7015942846238287,0.6398457826029401,1.0265293695482456,0.7824019024970273,1.482505514406304,0.8862465319064605,2.0630953910146594,0.9425287356321839,11,53
BBB pass,bbb_pass_test,5471,1396,1736,2093,results/models/split_11/bbb_pass/model.cbm,0.46315862121969054,0.3232762915068241,0.21451590841012477,0.4605229269434534,0.6860232667265612,0.6158325157654676,1.0404077250581012,0.8271889400921659,1.4443482393771419,0.9095622119815668,2.056174229691805,0.9625576036866359,11,53
Baseline,full_test,8085,2042,2523,2093,results/models/split_11/baseline/model.cbm,0.5471013465918464,0.3789501971389871,0.2993198834426116,0.4791170384861826,0.6912458909741194,0.6399237992486027,1.0699645343249735,0.7895362663495838,1.581488748055735,0.8953626634958383,2.106626710821793,0.940943321442727,11,53
PCA,full_test,8085,2042,2523,2053,results/models/split_11/pca/model.cbm,0.5477037957336265,0.3752473190490217,0.2999794478610221,0.47796925016146663,0.6929723239722207,0.6427979212378583,1.093621964191969,0.7982560443915973,1.6223930684535404,0.8961553705905668,2.333233251537925,0.9516448672215616,11,53
Plain,bbb_pass_test,8085,2042,1736,2050,results/models/split_11/plain/model.cbm,0.45719819357185354,0.32009705610314393,0.20903018820536606,0.47431873491687604,0.6845816701813183,0.6288160299375593,1.0602499628510997,0.8410138248847926,1.5289457149235286,0.9233870967741935,2.1380616353015967,0.9642857142857143,11,53
Plain,full_test,8085,2042,2523,2050,results/models/split_11/plain/model.cbm,0.5362582695255256,0.36502438311752583,0.2875729316345112,0.49955933913186157,0.7087522734097954,0.6548881069821996,1.0602499628510997,0.8018232263178755,1.5289457149235286,0.8929845422116528,2.138061635301596,0.9456995640110979,11,53
ADME,full_test,7980,2155,2515,2161,results/models/split_12/adme/model.cbm,0.5172145697141592,0.3535079074777163,0.2675109111246029,0.5048988770846305,0.7057380142604965,0.6546946693012616,1.097473638211535,0.8087475149105368,1.5910332390055502,0.9037773359840954,2.1646222796880834,0.9495029821073558,12,54
BBB pass,bbb_pass_test,5436,1438,1729,2093,results/models/split_12/bbb_pass/model.cbm,0.4576311412308796,0.3175426711600871,0.20942626142427728,0.4382689139807273,0.6664463813303024,0.6055380411652406,1.0332715075826044,0.821283979178716,1.4245820142151082,0.9074609600925391,1.950437179734159,0.9560439560439561,12,54
Baseline,full_test,7980,2155,2515,2093,results/models/split_12/baseline/model.cbm,0.5300117684587383,0.3643484027461522,0.2809124747047592,0.4800956675652007,0.6910773424682332,0.6431448346688783,1.1541326197531472,0.8186878727634195,1.6564978932837038,0.9041749502982107,2.335947050380476,0.9618290258449305,12,54
PCA,full_test,7980,2155,2515,2053,results/models/split_12/pca/model.cbm,0.5338511929090646,0.36552461263611635,0.2849970961704313,0.4725359733985709,0.68178269991891,0.6425339304046599,1.12038657020694,0.8055666003976143,1.682967660329103,0.9073558648111332,2.2940962846583943,0.9530815109343936,12,54
Plain,bbb_pass_test,7980,2155,1729,2050,results/models/split_12/plain/model.cbm,0.4526160530928425,0.31302554723185727,0.2048612915173428,0.45051324993949515,0.6749353933034888,0.6269698825249418,1.110633365145425,0.8461538461538461,1.668937947738341,0.9398496240601504,2.215212930942668,0.9728166570271833,12,54
Plain,full_test,7980,2155,2515,2050,results/models/split_12/plain/model.cbm,0.5176889634749464,0.3521075750944677,0.2680018629037644,0.5039902383448561,0.7029395362301202,0.6587265637065344,1.110633365145425,0.8178926441351889,1.668937947738341,0.9137176938369781,2.2152129309426685,0.9570576540755468,12,54
