split_index,seed,query_set,reference_set,ligand_id,nearest_ligand_id,max_tanimoto_similarity
0,42,val,train,2213,261,0.4772727272727273
0,42,val,train,2220,872,0.5789473684210527
0,42,val,train,2232,15369,0.48148148148148145
0,42,val,train,2239,8774,0.41304347826086957
0,42,val,train,2244,10855,0.5217391304347826
0,42,val,train,2245,7847,0.48
0,42,val,train,2246,2247,0.41379310344827586
0,42,val,train,2260,2256,0.6
0,42,val,train,2261,2255,0.6153846153846154
0,42,val,train,2273,7133,0.2413793103448276
0,42,val,train,2282,5047,0.5
0,42,val,train,2283,809,0.49333333333333335
0,42,val,train,2288,4563,0.37142857142857144
0,42,val,train,2293,12101,0.5
0,42,val,train,2299,5679,0.5660377358490566
0,42,val,train,2301,9147,0.6153846153846154
0,42,val,train,2302,3546,0.5862068965517241
0,42,val,train,2306,3205,0.6363636363636364
0,42,val,train,2314,8402,0.5365853658536586
0,42,val,train,2316,15278,0.6153846153846154
0,42,val,train,2331,16344,0.5208333333333334
0,42,val,train,2335,3325,0.627906976744186
0,42,val,train,2341,3377,0.5625
0,42,val,train,2343,1292,0.4594594594594595
0,42,val,train,2350,13286,0.6486486486486487
0,42,val,train,2358,2359,0.5609756097560976
0,42,val,train,2362,1013,0.5714285714285714
0,42,val,train,2371,7121,0.5428571428571428
0,42,val,train,2382,945,0.45161290322580644
0,42,val,train,2397,2395,0.627906976744186
0,42,val,train,2407,6930,0.56
0,42,val,train,2413,3149,0.6470588235294118
0,42,val,train,2430,9676,0.4838709677419355
0,42,val,train,2431,2753,0.4857142857142857
0,42,val,train,2432,9676,0.41935483870967744
0,42,val,train,2439,2392,0.5581395348837209
0,42,val,train,2446,5905,0.5
0,42,val,train,2450,2390,0.5625
0,42,val,train,2470,3298,0.5238095238095238
0,42,val,train,2471,1970,0.5121951219512195
0,42,val,train,2480,4058,0.4166666666666667
0,42,val,train,2484,14567,0.5777777777777777
0,42,val,train,2485,13575,0.6333333333333333
0,42,val,train,2491,307,0.6111111111111112
0,42,val,train,2502,2787,0.3125
0,42,val,train,2508,11743,0.5333333333333333
0,42,val,train,2511,10584,0.5945945945945946
0,42,val,train,2518,15274,0.5757575757575758
0,42,val,train,2527,3820,0.6041666666666666
0,42,val,train,2528,3634,0.6086956521739131
0,42,val,train,2546,2548,0.5319148936170213
0,42,val,train,2550,2548,0.6
0,42,val,train,2556,4759,0.5306122448979592
0,42,val,train,2557,4759,0.56
0,42,val,train,2563,6853,0.4827586206896552
0,42,val,train,2569,3094,0.5737704918032787
0,42,val,train,2576,7677,0.5925925925925926
0,42,val,train,2577,1172,0.4411764705882353
0,42,val,train,2589,7810,0.6190476190476191
0,42,val,train,2591,2548,0.62
0,42,val,train,2604,259,0.4583333333333333
0,42,val,train,2607,6245,0.4807692307692308
0,42,val,train,2614,67,0.43333333333333335
0,42,val,train,2618,1579,0.5
0,42,val,train,2621,5346,0.6551724137931034
0,42,val,train,2622,4138,0.5185185185185185
0,42,val,train,2632,477,0.4
0,42,val,train,2635,748,0.3181818181818182
0,42,val,train,2637,3096,0.3333333333333333
0,42,val,train,2641,7299,0.6153846153846154
0,42,val,train,2642,2590,0.5849056603773585
0,42,val,train,2647,12053,0.5686274509803921
0,42,val,train,2648,3993,0.6206896551724138
0,42,val,train,2651,1103,0.375
0,42,val,train,2659,377,0.5102040816326531
0,42,val,train,2662,15179,0.5652173913043478
0,42,val,train,2669,4169,0.4444444444444444
0,42,val,train,2680,16470,0.44642857142857145
0,42,val,train,2687,13048,0.7692307692307693
0,42,val,train,2695,5066,0.6111111111111112
0,42,val,train,2698,2774,0.6285714285714286
0,42,val,train,2710,15096,0.44285714285714284
0,42,val,train,2714,2788,0.41025641025641024
0,42,val,train,2742,1128,0.5217391304347826
0,42,val,train,2756,406,0.5737704918032787
0,42,val,train,2757,15410,0.625
0,42,val,train,2761,4020,0.4918032786885246
0,42,val,train,2762,6903,0.4418604651162791
0,42,val,train,2778,10833,0.2894736842105263
0,42,val,train,2779,1012,0.47058823529411764
0,42,val,train,2792,1085,0.5
0,42,val,train,2799,3097,0.5384615384615384
0,42,val,train,2808,415,0.6470588235294118
0,42,val,train,2827,2998,0.2413793103448276
0,42,val,train,2831,6095,0.375
0,42,val,train,2833,9505,0.32
0,42,val,train,2840,4759,0.6444444444444445
0,42,val,train,2850,1797,0.75
0,42,val,train,2854,1823,0.4838709677419355
0,42,val,train,2861,1846,0.6444444444444445
0,42,val,train,2862,2172,0.7333333333333333
0,42,val,train,2864,4331,0.6428571428571429
0,42,val,train,2871,1537,0.6470588235294118
0,42,val,train,2874,1034,0.5135135135135135
0,42,val,train,2890,4305,0.2857142857142857
0,42,val,train,2926,2925,0.9705882352941176
0,42,val,train,2936,1999,0.5
0,42,val,train,2939,1488,0.391304347826087
0,42,val,train,2940,798,0.52
0,42,val,train,2942,1736,0.4146341463414634
0,42,val,train,2946,3948,0.25925925925925924
