scope,split_index,seed,query_set,reference_set,n_queries,median,p90,p95,p99,maximum,fraction_ge_0.70,fraction_ge_0.80,fraction_ge_0.90
per_split,20,62,test,val,2497,0.4166666666666667,0.5964912280701754,0.6304347826086957,0.7420619860847564,0.90625,0.01882258710452543,0.006007208650380457,0.00040048057669203043
per_split,20,62,val,train,2018,0.5384615384615384,0.66,0.7560975609756098,0.841901913875598,0.9302325581395349,0.07383548067393458,0.02626362735381566,0.0009910802775024777
per_split,21,63,test,train,2586,0.5405405405405406,0.6753378378378379,0.7410344827586207,0.8546130952380955,0.9375,0.08081979891724671,0.026295436968290797,0.0027068832173240526
per_split,21,63,test,val,2586,0.4186046511627907,0.5833333333333334,0.6277929776561788,0.7551700680272109,0.8723404255319149,0.01817478731631864,0.005027068832173241,0.0
per_split,21,63,val,train,2059,0.5405405405405406,0.68,0.743649373881932,0.85,0.972972972972973,0.08450704225352113,0.026711996114618747,0.0048567265662943174
per_split,22,64,test,train,2635,0.5333333333333333,0.6666666666666666,0.740222222222222,0.8451652173913032,0.9696969696969697,0.07476280834914611,0.022390891840607212,0.0018975332068311196
per_split,22,64,test,val,2635,0.4186046511627907,0.5973303670745272,0.6388888888888888,0.782608695652174,0.8979591836734694,0.025426944971537004,0.007590132827324478,0.0
per_split,22,64,val,train,2091,0.55,0.6981132075471698,0.7647058823529411,0.8695652173913043,0.9767441860465116,0.09947393591582974,0.03538976566236251,0.006695361071257772
per_split,23,65,test,train,2564,0.5365853658536586,0.65,0.7254166666666666,0.8421052631578947,0.972972972972973,0.06396255850234009,0.021450858034321372,0.0019500780031201249
per_split,23,65,test,val,2564,0.4146341463414634,0.6,0.6363636363636364,0.7518877551020402,0.875,0.02613104524180967,0.00546021840873635,0.0
per_split,23,65,val,train,1985,0.5357142857142857,0.672937062937063,0.7458450046685341,0.8546428571428574,0.9772727272727273,0.07808564231738035,0.024181360201511334,0.004030226700251889
per_split,24,66,test,train,2499,0.5365853658536586,0.6591876208897487,0.7308630393996246,0.8294176207068191,0.925,0.0700280112044818,0.021208483393357343,0.0012004801920768306
per_split,24,66,test,val,2499,0.41818181818181815,0.6035133376707873,0.641208791208791,0.7551219512195121,0.972972972972973,0.023209283713485393,0.006402561024409764,0.00040016006402561027
per_split,24,66,val,train,2017,0.5384615384615384,0.6807272727272728,0.7409796893667859,0.8488597210828547,0.9705882352941176,0.08378780366881507,0.024293505205751114,0.002974714923153198
